correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_obs,mean_estimate,coverage_obs,coverage_obs_dist,coverage_true
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.12164071196313103,0.8969,0.053099999999999925,0.9106
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10213367058788095,0.9063,0.04369999999999996,0.9113
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.09874172467496556,0.908,0.041999999999999926,0.907
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,no_weight,0.40144653552974946,0.8597,0.09029999999999994,0.8349
Pearson,L_Y_dich_2_5__K_X_dich_1_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8567,0.09329999999999994,0.8613
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.004489096192090738,0.9211,0.028899999999999926,0.9216
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.0111698355578094,0.9161,0.03389999999999993,0.9154
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.010321948195039054,0.9099,0.040099999999999913,0.91
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0,4,4,0,0.03646026958428305,PPW,-0.0034988334442010226,0.8801,0.06989999999999996,0.9205
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,4,0,0.4,0.3022048754100082,no_weight,0.3022048754100082,0.8618,0.08819999999999995,0.8271
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0,0.5,4,4,0.4,0.29509744910188507,no_weight,0.29509744910188507,0.8435,0.10649999999999993,0.7775
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.13402028179490716,0.8932,0.05679999999999996,0.8821
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.09673199822151696,0.9145,0.035499999999999976,0.9172
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.09808858012144418,0.9113,0.03869999999999996,0.9135
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.07465250091966458,0.8946,0.055400000000000005,0.8987
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,no_weight,0.40144653552974946,0.8597,0.09029999999999994,0.8349
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8567,0.09329999999999994,0.8613
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.011361038473984343,0.9129,0.03709999999999991,0.9128
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.0322169952746245,0.8985,0.05149999999999999,0.8977
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.022513061895809768,0.8909,0.05909999999999993,0.8914
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,4,4,0,0.03646026958428305,CW,0.040765046512563095,0.8795,0.07050000000000001,0.8693
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,0,0,0.4,0.3831791367499273,CW,0.38314903262213795,0.8734,0.0766,0.8823
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,0,4,0.4,0.3035321317014306,no_weight,0.3035321317014306,0.8632,0.08679999999999999,0.8263
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,4,0,0.4,0.3022048754100082,OPW,0.3055272175332632,0.8673,0.0827,0.8366
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0.5,4,4,0.4,0.29509744910188507,PPW,0.23730164954656113,0.869,0.08099999999999996,0.7026
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,0,0,0.1,0.10855073650778706,PPW,0.14433986426403017,0.8853,0.06469999999999998,0.8778
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.0851398138269182,0.9107,0.0393,0.9089
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.10006520058181324,0.8962,0.05379999999999996,0.8982
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.0719173028791488,0.8889,0.06109999999999993,0.8906
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,CW,0.49340541618168304,0.8702,0.07979999999999998,0.8731
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.863,0.08699999999999997,0.8679
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,PPW,0.37568503028402744,0.8953,0.05469999999999997,0.7844
