correlation_measure,subgrouping,M,rho_xy,rho_uv,eta_x,eta_y,rho_true,rho_obs_hat,best_weight_coverage_true,mean_estimate,coverage_true,coverage_true_dist,coverage_obs
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,0,4,0.1,0.08938054766039766,PPW,0.09673199822151696,0.9172,0.03279999999999994,0.9145
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,4,0,0.1,0.09116823302454596,PPW,0.09808858012144418,0.9135,0.03649999999999998,0.9113
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0,4,4,0.1,0.10659491350720593,PPW,0.07465250091966458,0.8987,0.0512999999999999,0.8946
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,0,0,0.5,0.4933990071000003,no_weight,0.4933990071000003,0.8738,0.07619999999999993,0.8696
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,0,4,0.5,0.39812201440272504,CW,0.4153687644344479,0.8679,0.08209999999999995,0.863
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,4,0,0.5,0.40144653552974946,CW,0.41814564250841846,0.87,0.07999999999999996,0.8571
Pearson,L_Y_dich_2_5__K_X_dich_2_5,20,0.5,0.5,4,4,0.5,0.38942295188380144,CW,0.40897416296803735,0.8613,0.0887,0.8567
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,0,0,0,-0.00245721773328369,PPW,-0.011361038473984343,0.9128,0.03720000000000001,0.9129
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,0,4,0,-7.43056826832932e-4,PPW,-0.0322169952746245,0.8977,0.0522999999999999,0.8985
Pearson,L_Y_dich_2_5__K_X_dich_3_5,20,0,0,4,0,0,7.463224918980348e-4,PPW,-0.022513061895809768,0.8914,0.058599999999999985,0.8909
